rs_sf,num_msd_sf,num_msc_sf,num_ysd_sf,time,space,spacetime,num_benchmarks,num_rows
"(0.5, 0.9, 2.0)",0.5,0.9,2.0,1.7979820256853176,1.798349565289361,3.2374731741705367,4,4
"(0.5, 1.0, 0.5)",0.5,1.0,0.5,2.1901924405151587,1.4740686128765574,3.2322138797480986,4,4
"(0.5, 1.0, 0.6)",0.5,1.0,0.6,2.0022534959552285,1.4990989217163773,3.002734538876042,4,4
"(0.5, 1.0, 0.7)",0.5,1.0,0.7,1.851934138835037,1.5234843719643725,2.8230460122683443,4,4
"(0.5, 1.0, 0.8)",0.5,1.0,0.8,1.7979820256853176,1.5406097688844864,2.7682388706833203,4,4
"(0.5, 1.0, 0.9)",0.5,1.0,0.9,1.7979820256853176,1.5679105338759296,2.821811221635095,4,4
"(0.5, 1.0, 1.0)",0.5,1.0,1.0,1.7979820256853176,1.5927716750866663,2.8634312248182696,4,4
"(0.5, 1.0, 1.1)",0.5,1.0,1.1,1.7979820256853176,1.6168694619773258,2.905172324824475,4,4
"(0.5, 1.0, 1.2)",0.5,1.0,1.2,1.7979820256853176,1.6440073770328911,2.956766102499753,4,4
"(0.5, 1.0, 1.3)",0.5,1.0,1.3,1.7979820256853176,1.6608526588303614,2.9875598243355155,4,4
"(0.5, 1.0, 1.4)",0.5,1.0,1.4,1.7979820256853176,1.687898785348628,3.03648927113948,4,4
"(0.5, 1.0, 1.5)",0.5,1.0,1.5,1.7979820256853176,1.7094293229566269,3.074293400657118,4,4
"(0.5, 1.0, 1.6)",0.5,1.0,1.6,1.7979820256853176,1.7271282837372253,3.106016553393945,4,4
"(0.5, 1.0, 1.7)",0.5,1.0,1.7,1.7979820256853176,1.7524872214360552,3.1506752930203477,4,4
"(0.5, 1.0, 1.8)",0.5,1.0,1.8,1.7979820256853176,1.770768793516072,3.1831509383391134,4,4
"(0.5, 1.0, 1.9)",0.5,1.0,1.9,1.7979820256853176,1.7944629809030768,3.2266535497413322,4,4
"(0.5, 1.0, 2.0)",0.5,1.0,2.0,1.7979820256853176,1.8213084449804082,3.275292979422036,4,4
"(0.5, 1.1, 0.5)",0.5,1.1,0.5,2.1901924405151587,1.4922120914742987,3.2687873521158544,4,4
"(0.5, 1.1, 0.6)",0.5,1.1,0.6,2.0022534959552285,1.5196098683688315,3.044003077442914,4,4
"(0.5, 1.1, 0.7)",0.5,1.1,0.7,1.851934138835037,1.5414692655318352,2.854602234464702,4,4
"(0.5, 1.1, 0.8)",0.5,1.1,0.8,1.7979820256853176,1.5657519433877867,2.8154042927453684,4,4
"(0.5, 1.1, 0.9)",0.5,1.1,0.9,1.7979820256853176,1.5889485246821307,2.8573865707816677,4,4
"(0.5, 1.1, 1.0)",0.5,1.1,1.0,1.7979820256853176,1.6161520810999401,2.904188148442814,4,4
"(0.5, 1.1, 1.1)",0.5,1.1,1.1,1.7979820256853176,1.6378166510451402,2.945094206262671,4,4
"(0.5, 1.1, 1.2)",0.5,1.1,1.2,1.7979820256853176,1.6649215104998556,2.991699850584548,4,4
"(0.5, 1.1, 1.3)",0.5,1.1,1.3,1.7979820256853176,1.6840497706464586,3.0300184337651643,4,4
"(0.5, 1.1, 1.4)",0.5,1.1,1.4,1.7979820256853176,1.7087350098311886,3.071250992693398,4,4
"(0.5, 1.1, 1.5)",0.5,1.1,1.5,1.7979820256853176,1.7325272866952768,3.1149519148863254,4,4
"(0.5, 1.1, 1.6)",0.5,1.1,1.6,1.7979820256853176,1.750210791998748,3.148315053071247,4,4
"(0.5, 1.1, 1.7)",0.5,1.1,1.7,1.7979820256853176,1.7700525134905065,3.180088096657532,4,4
"(0.5, 1.1, 1.8)",0.5,1.1,1.8,1.7979820256853176,1.7905446751038703,3.220080872767674,4,4
"(0.5, 1.1, 1.9)",0.5,1.1,1.9,1.7979820256853176,1.8151087057956865,3.263663439975026,4,4
"(0.5, 1.1, 2.0)",0.5,1.1,2.0,1.7979820256853176,1.8419315374154153,3.309627726597842,4,4
"(0.5, 1.2, 0.5)",0.5,1.2,0.5,2.1901924405151587,1.513346610471702,3.3156382393157835,4,4
"(0.5, 1.2, 0.6)",0.5,1.2,0.6,2.0022534959552285,1.540702764789893,3.0826285349633755,4,4
"(0.5, 1.2, 0.7)",0.5,1.2,0.7,1.851934138835037,1.5625026537071596,2.8922002062054966,4,4
"(0.5, 1.2, 0.8)",0.5,1.2,0.8,1.7979820256853176,1.583547806658807,2.8489498507782787,4,4
"(0.5, 1.2, 0.9)",0.5,1.2,0.9,1.7979820256853176,1.6067045665606416,2.8882999615124674,4,4
